review_id,sentence_id,sentence,aspect_category,aspect_polarity
79,79:0,Being a PC user my whole life....,
79,79:1,This computer is absolutely AMAZING!!!,"[{'category': 'LAPTOP#GENERAL', 'polarity': 'positive'}]"
79,79:2,10 plus hours of battery...,"[{'category': 'BATTERY#OPERATION_PERFORMANCE', 'polarity': 'positive'}]"
79,79:3,super fast processor and really nice graphics card..,"[{'category': 'CPU#OPERATION_PERFORMANCE', 'polarity': 'positive'}, {'category': 'GRAPHICS#GENERAL', 'polarity': 'positive'}]"
79,79:4,and plenty of storage with 250 gb(though I will upgrade this and the ram..),"[{'category': 'HARD_DISC#DESIGN_FEATURES', 'polarity': 'positive'}]"
79,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...,"[{'category': 'LAPTOP#OPERATION_PERFORMANCE', 'polarity': 'positive'}, {'category': 'LAPTOP#USABILITY', 'polarity': 'positive'}]"
79,79:6,I've only had mine a day but I'm already used to it...,"[{'category': 'LAPTOP#USABILITY', 'polarity': 'positive'}]"
79,79:7,MACS ARE AMAZING!!!,
79,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,"[{'category': 'LAPTOP#PORTABILITY', 'polarity': 'positive'}, {'category': 'CPU#OPERATION_PERFORMANCE', 'polarity': 'positive'}]"
10,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.,"[{'category': 'LAPTOP#GENERAL', 'polarity': 'positive'}, {'category': 'LAPTOP#OPERATION_PERFORMANCE', 'polarity': 'positive'}]"
10,10:1,i would really recommend to any person out there to get this laptop cause its really worth it.,"[{'category': 'LAPTOP#GENERAL', 'polarity': 'positive'}]"
10,10:2,and its really cheap and you wont regret buying it.,"[{'category': 'LAPTOP#PRICE', 'polarity': 'positive'}, {'category': 'LAPTOP#GENERAL', 'polarity': 'positive'}]"
264,264:0,"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",
264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;","[{'category': 'LAPTOP#PORTABILITY', 'polarity': 'positive'}, {'category': 'LAPTOP#QUALITY', 'polarity': 'positive'}, {'category': 'LAPTOP#USABILITY', 'polarity': 'positive'}]"
264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.","[{'category': 'LAPTOP#DESIGN_FEATURES', 'polarity': 'positive'}, {'category': 'LAPTOP#PORTABILITY', 'polarity': 'positive'}, {'category': 'LAPTOP#MISCELLANEOUS', 'polarity': 'positive'}]"
264,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.,"[{'category': 'LAPTOP#MISCELLANEOUS', 'polarity': 'positive'}, {'category': 'LAPTOP#QUALITY', 'polarity': 'positive'}]"
264,264:4,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.","[{'category': 'OS#DESIGN_FEATURES', 'polarity': 'positive'}]"
24,24:0,Oh my goodness-I am not a happy camper.,"[{'category': 'LAPTOP#GENERAL', 'polarity': 'negative'}]"
24,24:1,My HP is very heavy.,"[{'category': 'LAPTOP#DESIGN_FEATURES', 'polarity': 'negative'}]"
24,24:2,Not easy to carry.,"[{'category': 'LAPTOP#PORTABILITY', 'polarity': 'negative'}]"
24,24:3,The battery has never worked well.,"[{'category': 'BATTERY#QUALITY', 'polarity': 'negative'}, {'category': 'BATTERY#OPERATION_PERFORMANCE', 'polarity': 'negative'}]"
24,24:4,The battery gets so HOT it is scary.,"[{'category': 'BATTERY#QUALITY', 'polarity': 'negative'}]"
24,24:5,"Yet, HP won't do anything about the problem.","[{'category': 'SUPPORT#QUALITY', 'polarity': 'negative'}]"
24,24:6,I returned the computer to HP and they kept it for 3 months.,"[{'category': 'SUPPORT#QUALITY', 'polarity': 'negative'}]"
24,24:7,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,"[{'category': 'SUPPORT#QUALITY', 'polarity': 'negative'}]"
24,24:8,"So, you can imagine how unhappy I am with this item.","[{'category': 'LAPTOP#GENERAL', 'polarity': 'negative'}]"
24,24:9,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,"[{'category': 'LAPTOP#QUALITY', 'polarity': 'negative'}]"
24,24:10,I did contact HP and share how unhappy I am.,
24,24:11,"Well, they don't care a bunch.","[{'category': 'SUPPORT#QUALITY', 'polarity': 'negative'}]"
